,counterfactual_death_rate,factual_death_rate
2020-03-05,0.9507861137390137,1.0
2020-03-06,0.7903147339820862,1.0
2020-03-07,0.5800925493240356,1.0
2020-03-08,0.6020747423171997,1.0
2020-03-09,0.4923880100250244,1.0
2020-03-10,0.5444969534873962,1.0
2020-03-11,0.6239742040634155,0.8984996676445007
2020-03-12,0.586501955986023,0.9087865948677063
2020-03-13,0.721156656742096,0.9180184602737427
2020-03-14,0.6210772395133972,1.027395248413086
2020-03-15,0.9293110966682434,1.1256080865859985
2020-03-16,1.2180488109588623,1.1129367351531982
2020-03-17,1.5314068794250488,1.6055123805999756
2020-03-18,2.060638189315796,2.148801803588867
2020-03-19,2.5784003734588623,2.838308811187744
2020-03-20,3.958524703979492,3.3574507236480713
2020-03-21,5.640782356262207,4.125664710998535
2020-03-22,6.449953556060791,4.8163018226623535
2020-03-23,7.3116068840026855,6.441455841064453
2020-03-24,9.162301063537598,8.003177642822266
2020-03-25,11.058012962341309,10.310662269592285
2020-03-26,13.036055564880371,12.48621654510498
2020-03-27,15.894689559936523,14.743778228759766
2020-03-28,18.35576820373535,17.07514762878418
2020-03-29,20.698026657104492,19.87384033203125
2020-03-30,22.84939956665039,22.69208526611328
2020-03-31,27.56516456604004,25.728330612182617
2020-04-01,31.335830688476562,30.162670135498047
2020-04-02,34.9859504699707,35.15366744995117
2020-04-03,38.44301986694336,38.64287185668945
2020-04-04,41.05728530883789,43.2840576171875
2020-04-05,42.47653579711914,47.96061325073242
2020-04-06,44.3641471862793,51.5679931640625
2020-04-07,52.3715934753418,57.916656494140625
2020-04-08,53.95247268676758,60.7271614074707
2020-04-09,57.814964294433594,63.65648651123047
2020-04-10,63.90460968017578,67.59329986572266
2020-04-11,66.49064636230469,70.53562927246094
2020-04-12,66.7081069946289,71.98280334472656
2020-04-13,67.78588104248047,73.88539123535156
2020-04-14,68.71546173095703,77.99854278564453
2020-04-15,71.66963195800781,81.29991149902344
2020-04-16,75.12943267822266,81.36994171142578
2020-04-17,76.1795425415039,81.83309173583984
2020-04-18,76.6644287109375,82.44994354248047
2020-04-19,74.68034362792969,82.60498809814453
2020-04-20,71.44359588623047,80.54403686523438
2020-04-21,70.15999603271484,80.18956756591797
2020-04-22,70.05797576904297,80.77071380615234
2020-04-23,69.59209442138672,81.5937728881836
2020-04-24,68.0508804321289,80.73426818847656
2020-04-25,67.23933410644531,80.1607666015625
2020-04-26,64.25724792480469,79.4446029663086
2020-04-27,60.74053955078125,79.7001724243164
2020-04-28,57.792728424072266,80.13020324707031
2020-04-29,56.69524383544922,79.91716003417969
2020-04-30,53.306785583496094,79.72542572021484
2020-05-01,50.7375602722168,79.05284118652344
