,counterfactual_reproduction_rate,factual_reproduction_rate
2020-03-05,1.465553641319275,1.4600000381469727
2020-03-06,1.4644359350204468,1.4600000381469727
2020-03-07,1.460141658782959,1.4600000381469727
2020-03-08,1.4569518566131592,1.4600000381469727
2020-03-09,1.4574273824691772,1.4600000381469727
2020-03-10,1.45114004611969,1.4500000476837158
2020-03-11,1.4440290927886963,1.4500000476837158
2020-03-12,1.436499834060669,1.440000057220459
2020-03-13,1.4260530471801758,1.440000057220459
2020-03-14,1.427842617034912,1.4299999475479126
2020-03-15,1.427582859992981,1.4299999475479126
2020-03-16,1.4301247596740723,1.4199999570846558
2020-03-17,1.4222513437271118,1.4199999570846558
2020-03-18,1.4185473918914795,1.409999966621399
2020-03-19,1.4213552474975586,1.409999966621399
2020-03-20,1.4101086854934692,1.399999976158142
2020-03-21,1.3945964574813843,1.399999976158142
2020-03-22,1.384413242340088,1.3899999856948853
2020-03-23,1.3800843954086304,1.3899999856948853
2020-03-24,1.3789784908294678,1.3899999856948853
2020-03-25,1.380979299545288,1.3799999952316284
2020-03-26,1.3728374242782593,1.3799999952316284
2020-03-27,1.3732901811599731,1.3700000047683716
2020-03-28,1.3718273639678955,1.3700000047683716
2020-03-29,1.3658435344696045,1.3600000143051147
2020-03-30,1.3589630126953125,1.350000023841858
2020-03-31,1.3544222116470337,1.350000023841858
2020-04-01,1.3448830842971802,1.340000033378601
2020-04-02,1.3358476161956787,1.340000033378601
2020-04-03,1.325564980506897,1.3300000429153442
2020-04-04,1.313570261001587,1.3200000524520874
2020-04-05,1.3010658025741577,1.3200000524520874
2020-04-06,1.2893353700637817,1.309999942779541
2020-04-07,1.2791858911514282,1.2999999523162842
2020-04-08,1.268916368484497,1.2999999523162842
2020-04-09,1.2596884965896606,1.2899999618530273
2020-04-10,1.2479968070983887,1.2899999618530273
2020-04-11,1.2360591888427734,1.2799999713897705
2020-04-12,1.229749321937561,1.2699999809265137
2020-04-13,1.224875569343567,1.2699999809265137
2020-04-14,1.2205300331115723,1.2599999904632568
2020-04-15,1.2167822122573853,1.2599999904632568
2020-04-16,1.20995032787323,1.25
2020-04-17,1.202894926071167,1.25
2020-04-18,1.2003103494644165,1.2400000095367432
2020-04-19,1.1987231969833374,1.2400000095367432
2020-04-20,1.1968251466751099,1.2300000190734863
2020-04-21,1.1926045417785645,1.2300000190734863
2020-04-22,1.187918782234192,1.2200000286102295
2020-04-23,1.1844462156295776,1.2200000286102295
2020-04-24,1.1802412271499634,1.2100000381469727
2020-04-25,1.1762876510620117,1.2100000381469727
2020-04-26,1.174467921257019,1.2100000381469727
2020-04-27,1.1733629703521729,1.2000000476837158
2020-04-28,1.1698414087295532,1.2000000476837158
2020-04-29,1.1690433025360107,1.190000057220459
2020-04-30,1.1715670824050903,1.190000057220459
2020-05-01,1.1692146062850952,1.190000057220459
